,job_title,company,experience,location,description,skills_required,min_experience
10,Python,    APPLYCUP HIRING SOLUTIONS LLP        ,4 - 6 ,Pune,"Python TrainerPune ,  MaharashtraQualification : BE /  ME /  BCA /  MCA- Any Computer /  IT Degree Experience : 4 - 6 YearsSkills : Trainer ,  Python ,  Core PythonJob Descrip... ","python,webtechnologies,webtechnologies",4
11,Python,    simplicity creations technology pvt. ltd.        ,0 - 3 ,,"job_descriptionMandatory SkillsPython ,  Django ,  Front End ,  Python ,  HTML5 ,  Angular / NodeJS Java Script.ResponsibilitiesWriting reusable ,  testable ,  and efficient c... ","python,django,java,html5",0
12,Python,    WHITE FORCE        ,2 - 4 ,Chennai,DescriptionResponsibilities  Create the fundamental software framework that would enable process implementation at Agnikul  Detect and troubleshoot software issues  Write clea... ,"python,mobile,debugging",2
13,Python,    BRICKRED TECHNOLOGIES PVT. LTD.        ,0 - 3 ,,"Detailed 1. Proficient in python and numerical programming ,  especially numpy ,  opencv ,  sckit-image ,  sklearn.2. Basic understanding in 3D image processin... ","imageprocessing,python,opencv",0
14,Python,    BRICKRED TECHNOLOGIES PVT. LTD.        ,0 - 3 ,,"1. Proficient in python and numerical programming ,  especially numpy ,  opencv ,  sckit-image ,  sklearn.2. Basic understanding in 3D image processing ,  especially warping3.... ","imageprocessing,python,opencv",0
15,Python,    BRICKRED TECHNOLOGIES PVT. LTD.        ,0 - 3 ,,"JD1. Proficient in python and numerical programming ,  especially numpy ,  opencv ,  sckit-image ,  sklearn.2. Basic understanding in 3D image processing ,  especially warping... ","imageprocessing,python,opencv",0
16,Python,    WHITE FORCE        ,2 - 4 ,Chennai,Responsibilities  Create the fundamental software framework that would enable process implementation at Agnikul  Detect and troubleshoot software issues  Write clear quality c... ,"python,mobile,debugging",2
17,Python,    WELLS FARGO INDIA        ,3 - 6 ,"Hyderabad/Secunderabad,Chennai,Bengaluru/Bangalore",About the Role:You will be a part of Report Execution and Design team within Market and Counterparty Risk Management  ( MCRM )  is responsible developing and automation of exi... ,"san,python,django,consultant",3
18,Python,    TandA HR Solutions        ,2 - 5 ,Chandigarh," Good to have working knowledge on unit testing of the Code and write Test Cases. Excellent to Have an account on GIT Hub Should have done projects on Python ,... ","python,git,django",2
19,python,    Randstad MENA        ,0 - 3 ,Chennai,"job description python developer in chennaiJob Description.Understanding business requirements ,  task management and contributing in high level designing.Database design ,  p... ","python,java,technicalskills",0
20,Python,    Visionpix Technologies LLP        ,4 - 10 ,Bengaluru/Bangalore,"Job - Python DeveloperSkills : Python ,  OOPsLocation : BangloreEducation : Be ,  MCASalary : 15 - 18 LakhsExperience : 4 - 10 YearsJob Description :Strong Python developer wh... ","python,oops,technicalskills,",4
21,Python,    JobsLo Consultants        ,2 - 3 ,Indore,"Job Description : Python DeveloperQualification : BE/B.Tech , BBA , MBA , BCA , MCA Required only.Experience- 2.5- 3 yrs.salary-23k to 32kNo. of Openings : 1Job Type- Full Tim... ","python,linux,windows,sql",2
22,Python,    TandA HR Solutions        ,5 - 8 ,Chandigarh,Opening for Python Developer profile in a MNC Company for Chandigarh Location.designation- Python DeveloperLocation  ChandigarhExperience  5-8 yearsSalary  10-15 LPAQualificat... ,"python,git,django",5
23,python,    Randstad MENA        ,0 - 3 ,Bengaluru/Bangalore,"have Experience in testing automotive Sub-Domains: Break System ,  Activesafety and Passive Safety ,  Advance Driver Assistance Systems ,  Adaptive CruiseControl ,  Emergency ... ","python,c,oracle,database",0
24,Python,    APPLYCUP HIRING SOLUTIONS LLP        ,2 - 15 ,"Gurgaon,Delhi,Delhi/NCR","Python DeveloperGurgaon ,  Delhi Qualification : Any Graduate Experience : 2 - 15 YearsSkills : Python ,  Django ,  FlaskJob Description :Expert in Python ,  w... ","python,django,html5,javascript",2
25,Python,    Perfios Software Solutions Pvt. Ltd.        ,5 - 8 ,Bengaluru/Bangalore,"Were looking for experienced developers who are interested in solving complex problems using Python ,  and the JVM. We like people who are willing to work across the technolog... ","python,java,scala",5
26,Python,    zenga tv        ,2 - 5 ,Gurgaon,"Python Developer > GurgaonPositions: 4 Experience Required: 2  Years Responsibilities :Translate application storyboards and use cases into functional applicationsDesign ,  bu... ","python,django,html5,javascript",2
27,Python,    TECHNOPARK TRIVANDRUM        ,4 - 6 ,Thiruvananthapuram,"Brief description :Python AWS 4 - 6 yrs Urgent Opening!4-6 years of overall experienceGood Programming skills in PythonExperience with Machine learning frameworks ,  libraries... ","python,devops,machinelearning",4
28,Python,    SAGGEZZA INDIA PVT LTD        ,3 - 6 ,,Designing and Developing custom and complex solutions using Python and other programming languages such as JavaPartnering effectively with client project teamsManaging the pro... ,"python,softwaredelivery,java,django",3
29,Python,    SAGGEZZA INDIA PVT LTD        ,3 - 6 ,,The role:Designing and Developing custom and complex solutions using Python and other programming languages such as JavaPartnering effectively with client project teamsManagin... ,"python,softwaredelivery,java,django",3
30,Python,    route mobile ltd.        ,0 - 2 ,Mumbai,Job Role Python DeveloperExperience: 6 Months to 2 years Good Experience and knowledge in PythonGood Experience in Flask / Django  ( experience with developing... ,"python,django,postgresql,mysql,docker",0
31,Python,    SAGGEZZA INDIA PVT LTD        ,3 - 6 ,,Designing and Developing custom and complex solutions using Python and other programming languages such as JavaPartnering effectively with client project teamsManaging the pro... ,"python,softwaredelivery,java,django",3
32,Python,    colortokens llp. bangalore india        ,4 - 7 ,Bengaluru/Bangalore,"An enterprise class technology takes time bring to market. During this time ,  we do not want to expose our product and approach to competitors ,  experts ,  analysts and the ... ","algorithms,python,datastructures",4
33,Python,    ValueLabs        ,5 - 8 ,Hyderabad/Secunderabad,Requirements  4-6 Years Python / Perl or any scripting program languages  4-6 Years One ETL tool exposure  4-6 years exp in Data Analysis  Excellent communication skills  Quic... ,"python,perl,sql,datascience",5
34,Python,    Willis Group Holdings        ,0 - 3 ,Thane,"The Role : WTW has made a substantial investment in Innovisk ,  whose business is to support and build market leading underwriting platforms ,  differentiated by the applicati... ","c#,python,collaborativeenvironment",0
35,Python,    APPLYCUP HIRING SOLUTIONS LLP        ,2 - 4 ,Gandhinagar,"Skills : Django ,  Flask or other Python frameworks ,  Jinja 2 ,  Mako ,  JavaScript ,  HTML5 ,  and CSS3Job Description :BS / MS degree in Computer Science , ... ","python,django,html5,javascript",2
36,Python,    SYSTEMATIX INFOTECH PVT LTD        ,1 - 3 ,Bhopal,"Skills Work experience as a Python DeveloperExpertise in at least one popular Python framework  ( like Django ,  Flask or Pyramid ) Knowledge of object-relational mapping  ( O... ","python,security,django,html5,javascript",1
37,Python,    creative thoughts informatics indore        ,1 - 4 ,Indore,"Job Description : Work experience as a Python Developer.Expertise in at least one popular Python framework  ( like Django ,  Flask or Pyramid ) Knowledge about Rest API.Knowle... ","python,django,restapi,html5,javascript",1
38,Python,    pearl global solutions        ,4 - 7 ,Cochin/Kochi/Ernakulam,"Python Developer  Django Job Type : Full time ,  EmployeeExperience : 4  years of experience in Python.education : B.Tech / MCAQualities sought-out in the desired candidate: S... ","python,database,django,teamplayer,sql",4
39,Python,    QuEST Global Engineering Pvt Ltd        ,5 - 10 ,Bengaluru/Bangalore,Job DescriptionQualificationsCandidate with background in CS / ITRoles  &  Responsibilities:Web UI DevelopmentInteract with EM development team and 3rd party SaaS vendor  ( Co... ,"python,rdbms,mongodb,sql,docker",5
40,Python,    Flextronics International Ltd.        ,1 - 3 ,,"Job Description The Python Developer will be based in Austin ,  TX. In this role you will be working with our Service Repair team to convert tests from a legacy platforms to a... ","pythonscripting,softwareengineering,simulationmodels,python,github,problemsolving",1
41,Python,    TECHNOPARK TRIVANDRUM        ,1 - 4 ,Thiruvananthapuram,"We are looking for experienced and talented Python Developer with 1 year of experiencePreferred skillsRelevant experience in Python Programming LanguageExpertise in Python ,  ... ","python,django,git,debugging,problemsolving,sql",1
42,Python,    truetech solutions pvt ltd        ,5 - 8 ,"Hyderabad/Secunderabad,Chennai,Bengaluru/Bangalore","Job Description5  years of solid experience in Python with API building knowledge ,  with Advanced degree in computer science ,  math ,  statistics or a related discipline5  y... ","python,machinelearning,api",5
43,Python,    AtoZ Infoway LLP        ,2 - 5 ,Surat,"Python DeveloperNumber of Vacancy : 2 Applicant must have: 2  Years of Experience Expert in Python ,  with knowledge of at least one Python web framework as Django ,  Flask , ... ","python,django,html5,javascript",2
44,Python,    AxisTechnolabs        ,0 - 1 ,Ahmedabad,Responsibilities : We are looking for Freshers who want to grow thier career with Axis TechnolabsSuffering from finding dream jobsIT skills Requires for JobsWe can help you to... ,"python,django,itskills,html5,api,jquery",0
45,Python,    Forstaffing        ,2 - 4 ,Gurgaon,"Expert programmer  exceptional skills in frameworks ,  new solutions development ,  system design ,  enhancement and modernization  ( Python ,  Django ,  Mysql ,  Front-end te... ","mysql,python,node.js,django,writtencommunication",2
46,Python,    capgemini        ,0 - 3 ,Chennai,"Job DescriptionExperience in Python ,  with knowledge of at least one Python web framework ,  such as Django ,  Flask ,  etc depending on your technology stackFamiliarity with... ","securitycompliance,python,html5,mobile,javascript,database,django,pythonscripting",0
47,Python,    PMS CONSULTING        ,1 - 4 ,Gurgaon,"Roles and ResponsibilitiesDeveloping data science projects in Python AI / ML ,  deep learning.Experience building web application using Python - Python Flask ,  Django.Should ... ","python,css,django,html,softwaredeveloper",1
48,Python,    Han Digital Solution  ( P )  Ltd.        ,3 - 6 ,Bengaluru/Bangalore,Python Developer2 to 7 Years BengaluruJob Description :In-depth expertise of the engineering life cycleAbility to work in diverse teams with both present and off-site peers3  ... ,"python,github,sql,nosql,django,api",3
49,Python,    zf friedrichshafen -itc        ,4 - 6 ,Hyderabad/Secunderabad,Your Profile:Bachelors /  Masters into Electronics /  Computerscience or any similar study with atleast 4 to 6 yrs experience into Python programmingCandidate shall be profici... ,"python,informationtechnology,group-widedevelopment",4
50,Python,    Innvonix Technologies        ,0 - 3 ,Ahmedabad,"Job DescriptionWork experience as a Python DeveloperExpertise in at least one popular Python framework  ( like Django ,  Flask or Pyramid ) Experience in creating Bots would b... ","python,security,django,html5,angularjs,javascript",0
51,Python,    Magic Finserv        ,1 - 3 ,Noida/GreaterNoida,"Python Developer Role:Python DeveloperLocation: Noida ,  Sector-127Experience Required: 1-3 YearsJOB SUMMARYWe are looking for Python developers to work on a DLT  ( Distribute... ","python,java,scala,infrastructure,javascript",1
52,python,    HR DEVI AND ASSOCIATES        ,6 - 9 ,Bengaluru/Bangalore,"TFS ,  git ,  Installshield ,  WiX ,  Jenkins ,  Bitbucket ,  Sonar ,  Selenium ,  NUnit ,  Artifactory ,  Microservices and Containerization ,  Docker Components and Orchestr... ","python,applicationpackaging,orchestration,wix,installshield,docker,git,vbscript",6
53,Python,    tataatsu idealabs pvt. ltd.        ,1 - 3 ,Bengaluru/Bangalore,"Number of positions  2 1-3 years of hands on Python server-side developmentExperience in using AWS Cloud ,  Linux and deployment environmentPreferrable experience in one or mo... ","oop,python,linux,teamplayer,mongodb,sql",1
54,Python,    IDP EDUCATION INDIA PVT LTD        ,3 - 6 ,Chennai,Your code is elegant. You make the complex seem straightforward. You know how to write efficient code that someone else can pick up with ease. You instinctively test your own ... ,"json,softwareengineering,api,rest,python,node.js,gateway",3
55,python,    HR DEVI AND ASSOCIATES        ,5 - 8 ,Bengaluru/Bangalore,"Responsibilities:- Building APIs and micro-services that power Manch core product- Optimize Manch content for Search Engines- Extraction of keywords ,  phrases and creation th... ","fundamentals,python,sql,elasticsearch,infrastructure,softwaredeveloper,webcrawling",5
56,python,    HR DEVI AND ASSOCIATES        ,1 - 3 ,"Hyderabad/Secunderabad,Bengaluru/Bangalore",Job openings for python developer in bangaloreJava Or Python Developer Along With Aws  ( product Development  )   ( iit / nit / vit ) BangaloreSourcing and Screening Guideline... ,"python,mobile,internettechnologies,java,devops,cloudcomputing",1
57,Python,    LAKSH HUMAN RESOURCE        ,1 - 3 ,Mumbai,"Powai ,  Mumbai Python Developer Experience : 1 to 3 yrs Skills Required : Job Summary : 1. Should have extensive knowledge of Python ,  Django frameowrk ,  REST APIs. 2. Shou... ","rest,python,django,git",1
58,Python,    APPLYCUP HIRING SOLUTIONS LLP        ,1 - 4 ,Ahmedabad,"Python DeveloperAhmedabad ,  GujaratQualification : Graduate  /  Post Graduate with relevant experience. Experience : 1 - 4 YearsSkills : Python ,  MongoDB ,  Jinja2 ,  Implem... ","python,security,webdeveloper,storage,mongodb",1
59,Python,    SEVEN CONSULTANCY        ,0 - 3 ,Hyderabad/Secunderabad,"SALARY: 3LPA - 4LPALOCATION: Hyderabad ,  Telangana ,  IndiaVACANCIES: 1QUALIFICATION: Any GraduateMALE / FEMALE: BothEXPERIENCE: 3yr - 5yrJOB DETAILS1.Understand fundamental ... ","rest,python,webdeveloper,storage,softwaredeveloper",0
60,Python,    TandA HR Solutions        ,4 - 5 ,Gurgaon,Qualification  GraduateSalary Offerd: upto 10LExperience: 4 to 5 yearsJoining: Immediate or Max 1 monthSkills RequiredExpert in python programming.Having Experience in Robot F... ,"pythonprogramming,RobotFramework,DeviceAutomationAppium",4
61,Python,    zealitech solutions        ,1 - 3 ,Rajkot,"Qualification : Any DegreeSkill's Required :Python web framework  (  ( such as Django ,  Flask ,  Zope ,  Pyramid etc ,  Object Relational Mapper ,  object-oriented concepts J... ","python,security,django,zope,bugfixing",1
62,Python,    Replicon Software India Pvt Ltd        ,3 - 6 ,Bengaluru/Bangalore,"Python DeveloperBangalore ,  IndiaPosition Overview:We are expanding our SaaS solution based on market needs and are looking for a Senior Software Developer  /  Scrum Master t... ","seniorsoftwareengineer,git,seniorsoftwaredeveloper,debugging,python",3
63,Python,    gray matter software services pvt. ltd.        ,5 - 7 ,Bengaluru/Bangalore,"Essential : Good at Python programming Knowledge of Docker and bash /  shell scripting Experience with REST APIWell-versed with DJANGO framework  &  its functioning ,  MVT Mod... ","python,restapi,docker,sql,django,oops,shellscripting,softwareengineering",5
64,PYTHON,    DREAMAJAX TECHNOLOGIES        ,4 - 7 ,Bengaluru/Bangalore,"PYTHON DEVELOPER New B.E  /  B.Tech  /  MCA  /  M.Sc. ,  or equivalent with 4  years of Strong Experience as a Python developerStrong hands on experience on Core Python ,  Dja... ","python,django,api,sql,nosql",4
65,Python,    Stemmons Business Services Pvt. Ltd.        ,0 - 3 ,Vadodara,Python Developer Job Description We are looking for a Python Developer responsible for managing the interchange of data between the content providers and our database. Your pr... ,"python,github,windows,sql,database,api",0
66,Python,    DealsCorner        ,1 - 4 ,Ahmedabad,"Python Developer Min. Experience: 1 YearsLocation: Ahmedabad ,  Gujarat ,  IndiaQualities:Clear thinker with the ability to simplify and explain process / flow in clear verbat... ","python,css,oops,linux,debugging,html,javascript",1
67,Python,    litebreeze infotech pvt ltd        ,0 - 3 ,Cochin/Kochi/Ernakulam,Minimum of two years of work experience as a Python developerExpertise in at least one Python framework  ( like Django or Flask ) Experience in working with Agile Team and Git... ,"rest,python,css,javascript,sql,nosql,django,git,json,html,shellscripting",0
68,Python,    AxisTechnolabs        ,0 - 1 ,Ahmedabad,"Responsibilities : We are offering you Paid odoo - python internship for 3 months and after completion ,  you will get a job on your hand , 100 PERCENT  Job Placement ,  We su... ","python,css,userinteraction,bootstrap,openerp,database,xml,oops,html",0
69,Python,    Sellcraft Global Solutions        ,4 - 6 ,Gurgaon,Looking for a Python Developer to join our engineering team and help us develop and maintain various software products.the skill required areHands-on experience working Python... ,"python,restapi,docker,git,debugging,.net,api",4
70,Python,    AxisTechnolabs        ,0 - 1 ,Ahmedabad,"Responsibilities : Python / Odoo Internship We are offering Free Python / Odoo Internship at AxisTechnolabs ,  AhmedabadTraining   Job Opportunity for Fresher to build career.... ","python,css,html5,bootstrap,openerp,javascript,jquery,oops",0
71,Python,    AxisTechnolabs        ,1 - 4 ,Ahmedabad,"Job Description :Responsibilities : - Having strong knowledge in Python framework  ( Django ,  Flask or Pyramid )  - Having strong knowledge in javaScript / HTML5 / CSS3 - SAS... ","python,django,html5,teamplayer,angularjs,javascript",1
72,Python,    Fluper Limited        ,2 - 7 ,Noida/GreaterNoida,"Job Responsibilities Hands-on exposure to devices such as Microsoft HoloLens ,  HTC Vive ,  Oculus ,  Samsung Gear VR along with mobile based AR / VR solutionsStrong proficien... ","c#,python,virtualreality,mobile,augmentedreality,opencv",2
73,Python,    SEVEN CONSULTANCY        ,4 - 7 ,"NaviMumbai,Mumbai",JOB DETAILSMin 3 year experience in Python applications related to data management.Postgres DB experience 3 yearsSQL ExperienceExperience in managing importing / exporting lar... ,"python,mvc,sql",4
74,Python,    FresherMart        ,0 - 1 ,"NaviMumbai,Mumbai",Build Web Crawlers and Web Scraping toolsWork on OCR ApplicationsBuild applications using Python   Django FrameworkSkills Knowledge on PythonCandidate should have a certificat... ,"python,django,DjangoFramework",0
75,Python,    INITIATEFIRST INFORMATION SERVICES PRIVATE LIMITED        ,5 - 8 ,Hyderabad/Secunderabad,Requirements 5  years of experience.Expert in Python programming.Experience in Data modeling and extraction of data from different sources.Good experience in SQL.Experience in... ,"python,sql,Datamodeling",5
76,Python,    quality thought        ,2 - 5 ,Hyderabad/Secunderabad,Contribute to designing and building web apps and other internal toolsWrite clean and maintainable Python codeEngage with business development teams to drive t... ,"rest,python,django,informationtechnology",2
77,Python,    test and verification solutions        ,2 - 4 ,Bengaluru/Bangalore,Job Title:Python developerJob Code:SWTIND210618_38Job Description Proficient in Python with strong problem solving skills [2- 4 yrs experience]Good working knowledge of REST A... ,"rest,python,debugging,problemsolving,shellscripting,unix",2
78,Python,    Squareboat        ,1 - 4 ,Gurgaon,"What are you going to do? Write effective ,  scalable code.develop back-end components to improve responsiveness and overall performance.integrate user-facing elements into ap... ","python,html5,problemsolving,javascript,security,django,debugging",1
79,Python,    ValueLabs        ,7 - 10 ,Hyderabad/Secunderabad,7-10 Years strong experience in Database  7-10 Years strong experience with complex SQL  4-8 Years strong experience on Python  4-6 Years strong experience in Data Analysis ;H... ,"python,database,shellscripting,perl,unix,sql",7
80,Python,    Q2Q Solutions Pvt Ltd        ,3 - 6 ,,Q2 is seeking an ambitious and adaptable Python Developer experienced in the ins and outs of development in a team setting. As part of our Engineering Development group based ... ,"python,windows,sql,security,linux,webdevelopment",3
81,Python,    Interactive Brokers        ,3 - 5 ,Mumbai,The trade surveillance group is looking for a python engineer to develop highly automated and scalable processes that scan order activity and trades to detect potential market... ,"c,oraclepl/sql,sql,git,java,linux,python,php",3
82,Python,    APPLYCUP HIRING SOLUTIONS LLP        ,5 - 8 ,Ahmedabad,"Qualification : Diploma in IT , BSc IT / Msc IT , PGDCA , MCA ,  BCA ,  B.E.computer / IT ,  similar. Experience : 1 - 3 YearsSkills : Excellent communication in English Hindi... ","python,nosql,xpath,database,django,postgresql,xml,json,perl,mongodb,couchdb",5
83,Python,    TECHNOPARK TRIVANDRUM        ,2 - 4 ,Thiruvananthapuram,"Expertise in Python ,  Django ,  SQL.Experience in designing the service layer and communication with the front-end modules.mvC design pattern ,  Python Libraries ,  Middlewar... ","rest,python,problemsolving,sql,django,mysql,mvc,middleware",2
84,Python,    Han Digital Solution  ( P )  Ltd.        ,8 - 14 ,"Hyderabad/Secunderabad,Chennai,Bengaluru/Bangalore",Job Description :The selected candidates will be in a challenging and high-pressure environment and we need candidates who are well versed and can smoothly attain business pro... ,"rest,python,rdbms,tornado,nosql,django,xml,api,mongodb",8
85,Python,    ceredox technologies        ,2 - 5 ,Hyderabad/Secunderabad,"Experience in web application development using Python ,  Django / Flask.proficient in developing REST APIs ,  and familiar with JSON formatted data.Good understanding of fron... ","fundamentals,algorithms,python,restapi,informationretrieval,docker,react.js,django,git,json,datastructures",2
86,Python,    botree technologies        ,3 - 6 ,Ahmedabad,"Expert in PythonDjango is Must.Familiarity with some ORM  ( Object Relational Mapper )  librariesUnderstanding of the threading limitations of Python ,  and multi-process arch... ","securitycompliance,python,html5,svn,javascript,database,django,git,webdeveloper,debugging",3
87,Python,    RenewBuy        ,3 - 6 ,Gurgaon,Python DevelopersResponsibilities  ( 0-3 Years )  - Software Engineer Developing backend applications in Python / Django.designing and developing REST APIs.Creating servers an... ,"rest,python,seniorsoftwareengineer,nosql,django,postgresql,json,mysql,api,mongodb",3
88,Python,    Infosys Technologies Ltd        ,4 - 7 ,,Location for this position is Anywhere in USA. This position may require 10 PERCENT  travel This position may require travel in the US.Bachelors degree or foreign equivalent r... ,"informationtechnology,softwaredesign,database,linux,mysql,telecom,rest,globaldelivery,python,ubuntu,django,openstack",4
89,Python,    TECHNOPARK TRIVANDRUM        ,4 - 6 ,Thiruvananthapuram,"Brief description :Python AWS 4 - 6 yrs Urgent Opening! 4-6 years of overall experienceGood Programming skills in PythonExperience with Machine learning frameworks ,  librarie... ","python,devops,machinelearning",4
90,python,    HR DEVI AND ASSOCIATES        ,2 - 4 ,"Mumbai,Pune",Key Responsibilities:Developing PowerShell scripts to automate various tasks of OS and Applications running on Windows platform.Research and finding solution to automate compl... ,"algorithms,restapi,windowsplatform,linux,json,python,os,dll,windows,machinelearning,.net",2
91,python,    HR DEVI AND ASSOCIATES        ,1 - 3 ,"Hyderabad/Secunderabad,Bengaluru/Bangalore",Job openings for python developer in bangaloreJava Or Python Developer (  Only From Iit / nit / bit / vit / iiit )  Product DevelopmentBangaloreSourcing and Screening Guidelin... ,"c,orchestration,docker,internettechnologies,spring,java,mqtt,debugging,perl,mongodb,rest,python,mobile,unix/linux,ruby,.net",1
92,Python,    Datagrid Solutions        ,2 - 3 ,Mumbai,"Write well designed and optimized codeContribute in all phases of development lifecycle - troubleshoot ,  test and maintain the core product and database to ensure strong opti... ","python,database,django,mysql,api",2
93,Python,    TECHNOPARK TRIVANDRUM        ,4 - 8 ,Thiruvananthapuram,We are looking for a Python Developer to join our team and help us develop and maintain various software products.Python Developer responsibilities include writing and testing... ,"securitycompliance,python,html5,javascript,security,django,debugging",4
94,Python,    BRICKRED TECHNOLOGIES PVT. LTD.        ,5 - 8 ,,"The engineering team builds award-winning software for kids to make learning fun and impactful. Youll be helping students across the globe develop the comprehension ,  curiosi... ","restapi,sql,linux,multithreading,python,machinelearning,windows,django",5
95,Python,    ikomet Technology Solutions Pvt. Ltd.        ,0 - 3 ,Chennai,Python DeveloperWork Location: ChennaiRequired Experience: 3 - 5Work experience as a Python Developer.Expertise in at least one popular Python framework  ( lik... ,"python,django,git,html5,debugging,javascript,jquery",0
96,Python,    APPLYCUP HIRING SOLUTIONS LLP        ,2 - 5 ,Bengaluru/Bangalore,"Qualification : BE  , Btech  , BSC Computer / IT , MSC  , MCA , any graduate ,  Experience : 2 - 5 YearsSkills : Python ,  Django ,  flask ,  HTML ,  PostgreSQL or MySQL ,  Ja... ","python,django,git,postgresql,webdeveloper,html,mysql,bootstrap,javascript",2
97,Python,    APPLYCUP HIRING SOLUTIONS LLP        ,3 - 6 ,Hyderabad/Secunderabad,"Python DeveloperHyderabad ,  TelanganaSkills : Tornado-SQL Alchemy ,  Python ,  Django ,  Flask ,  PyramidJob Description :Job description:-ResponsibilitiesHelp the product ow... ","python,tornado,sql,django,git,postgresql,linux,mysql,softwareengineering",3
98,Python,    APPLYCUP HIRING SOLUTIONS LLP        ,8 - 11 ,Bengaluru/Bangalore,"Python LeadBangalore ,  KarnatakaSkills : Python ,  Django ,  Flask ,  Data Structures ,  AlgorithmsJob Description :Required Skills: Python ,  Django.Roles and Responsibiliti... ","algorithms,python,django,writtencommunication,datastructures,teamplayer",8
99,Python,    Prokarma Softech Pvt Ltd        ,4 - 7 ,Hyderabad/Secunderabad,"Overview 4-7 years of hands on experience in Programming in PythonShould have good knowledge using Advanced Excel operations  ( Formulas ,  Pivot tables ,  Visualizations ) Sh... ","python,systemanalyst,problemsolving,hadoop,bigdata,sql,messaging",4
100,Python,    NTT Data Vertex Software Inc.        ,3 - 5 ,,"We are currently seeking a Python Developer to join our team in Providence ,  Rhode Island  ( US-RI )  ,  United States  ( US ) .Requirements for this role include:3-5  years ... ","c#,python,c,linuxoperatingsystem,sql,database,infrastructure,powerbuilder,visualbasic",3
101,python,    HR DEVI AND ASSOCIATES        ,10 - 13 ,Mumbai,"Job descriptionTechnical Responsibilities:Work across Software Engineering ,  Data Science ,  and Client delivery teams to understand their goals and execute on the roadmap fo... ","docker,git,linux,softwareengineering,mysql,python,oracle,mobile,nosql,django,angularjs",1
102,Python,    Codal        ,5 - 8 ,Ahmedabad,"Codal ,  one of the fastest growing web and mobile development companies in the world. Codal seeking exceptional ,  full-time ,  Experienced and Senior Python Engineer ,  to s... ","securitycompliance,python,github,html5,mobile,storage,javascript,security,database,django,webdeveloper,debugging",5
103,PYTHON,    seaant web technologies        ,1 - 2 ,Chennai,University degree in CS degree or MCA or equivalent engineering degree.1 - 2 years of web application development using Python.Able to work in Python and Django framework.Able... ,"python,css,ant,bootstrap,windows,javascript,django,linux,html,bigdata",1
104,python,    HR DEVI AND ASSOCIATES        ,3 - 7 ,Bengaluru/Bangalore,"Backend: Python  ( Pyramid / Flask / Django ) Database: SQL Server / Oracle / MySQL / Postgres SQL / Any relational databasesWeb Frontend: HTML 5 ,  CSS 3 ,  J... ","python,css,oracle,bugfixing,javascript,jquery,sql,nosql,database,django,mysql,html",3
